label,map_name,num_agents,seed,avg_throughput,elapsed_s,solved,ISR,CSR,ep_length
random_d0_a8,pico_s.*_od0_na32,8,0,18.431828849,0.43,True,1.0,1.0,24.125
random_d0_a8,pico_s.*_od0_na32,8,1,22.049257496,0.36,True,1.0,1.0,19.625
random_d0_a8,pico_s.*_od0_na32,8,2,19.172217095,0.42,True,1.0,1.0,21.25
random_d0_a16,pico_s.*_od0_na32,16,0,36.928709233,0.43,True,1.0,1.0,20.5
random_d0_a16,pico_s.*_od0_na32,16,1,39.737396409,0.4,True,1.0,1.0,21.4375
random_d0_a16,pico_s.*_od0_na32,16,2,40.148718884,0.4,True,1.0,1.0,21.125
random_d0_a32,pico_s.*_od0_na32,32,0,67.407264666,0.47,True,1.0,1.0,21.28125
random_d0_a32,pico_s.*_od0_na32,32,1,73.713253839,0.43,True,1.0,1.0,23.78125
random_d0_a32,pico_s.*_od0_na32,32,2,60.923499152,0.53,True,1.0,1.0,23.71875
random_d30_a8,pico_s.*_od30_na32,8,0,11.034587153,0.72,True,0.75,0.0,108.125
random_d30_a8,pico_s.*_od30_na32,8,1,23.589333042,0.34,True,1.0,1.0,34.75
random_d30_a8,pico_s.*_od30_na32,8,2,20.374638565,0.39,True,1.0,1.0,27.125
random_d30_a16,pico_s.*_od30_na32,16,0,16.354223319,0.98,True,0.625,0.0,120.8125
random_d30_a16,pico_s.*_od30_na32,16,1,41.753971176,0.38,True,1.0,1.0,33.5
random_d30_a16,pico_s.*_od30_na32,16,2,32.80397874,0.49,True,1.0,1.0,35.75
random_d30_a32,pico_s.*_od30_na32,32,0,22.848090607,1.4,True,0.65625,0.0,108.84375
random_d30_a32,pico_s.*_od30_na32,32,1,54.379081221,0.59,True,1.0,1.0,39.0
random_d30_a32,pico_s.*_od30_na32,32,2,56.669945135,0.56,True,1.0,1.0,39.34375
empty-8-8_a16,empty-8-8,16,0,475.33134308,0.03,True,1.0,1.0,6.625,
empty-8-8_a16,empty-8-8,16,1,552.689018614,0.03,True,1.0,1.0,6.625,
empty-8-8_a16,empty-8-8,16,2,642.180124462,0.02,True,1.0,1.0,6.625,
empty-8-8_a32,empty-8-8,32,0,431.641111781,0.07,True,1.0,1.0,11.40625,
empty-8-8_a32,empty-8-8,32,1,401.9303408,0.08,True,1.0,1.0,11.40625,
empty-8-8_a32,empty-8-8,32,2,321.624383245,0.1,True,1.0,1.0,11.40625,
ht_chantry_a8,ht_chantry,8,0,7.442552553,1.07,True,1.0,1.0,87.125,
ht_chantry_a8,ht_chantry,8,1,6.539772208,1.22,True,1.0,1.0,87.125,
ht_chantry_a8,ht_chantry,8,2,7.371438324,1.09,True,1.0,1.0,87.125,
ht_chantry_a16,ht_chantry,16,0,12.950638334,1.24,True,1.0,1.0,77.3125,
ht_chantry_a16,ht_chantry,16,1,13.749062463,1.16,True,1.0,1.0,77.3125,
ht_chantry_a16,ht_chantry,16,2,12.195282163,1.31,True,1.0,1.0,77.3125,
ht_chantry_a32,ht_chantry,32,0,20.862640685,1.53,True,1.0,1.0,77.71875,
ht_chantry_a32,ht_chantry,32,1,21.738134128,1.47,True,1.0,1.0,77.71875,
ht_chantry_a32,ht_chantry,32,2,20.522381417,1.56,True,1.0,1.0,77.71875,
ht_mansion_n_a8,ht_mansion_n,8,0,4.637487124,1.73,True,1.0,1.0,98.625,
ht_mansion_n_a8,ht_mansion_n,8,1,4.931248214,1.62,True,1.0,1.0,98.625,
ht_mansion_n_a8,ht_mansion_n,8,2,4.886463837,1.64,True,1.0,1.0,98.625,
ht_mansion_n_a16,ht_mansion_n,16,0,7.977674562,2.01,True,1.0,1.0,95.875,
ht_mansion_n_a16,ht_mansion_n,16,1,8.257955622,1.94,True,1.0,1.0,95.875,
ht_mansion_n_a16,ht_mansion_n,16,2,8.199204171,1.95,True,1.0,1.0,95.875,
ht_mansion_n_a32,ht_mansion_n,32,0,14.240327748,2.25,True,1.0,1.0,87.84375,
ht_mansion_n_a32,ht_mansion_n,32,1,14.356294656,2.23,True,1.0,1.0,87.84375,
ht_mansion_n_a32,ht_mansion_n,32,2,13.713899272,2.33,True,1.0,1.0,87.84375,
lak303d_a8,lak303d,8,0,1.98324502,4.03,True,0.75,0.0,140.125,
lak303d_a8,lak303d,8,1,2.031121261,3.94,True,0.75,0.0,140.125,
lak303d_a8,lak303d,8,2,1.974611836,4.05,True,0.75,0.0,140.125,
lak303d_a16,lak303d,16,0,3.640593862,4.39,True,0.75,0.0,157.875,
lak303d_a16,lak303d,16,1,3.619171663,4.42,True,0.75,0.0,157.875,
lak303d_a16,lak303d,16,2,3.641815437,4.39,True,0.75,0.0,157.875,
lak303d_a32,lak303d,32,0,6.459641813,4.95,True,0.84375,0.0,155.25,
lak303d_a32,lak303d,32,1,6.215675485,5.15,True,0.84375,0.0,155.25,
lak303d_a32,lak303d,32,2,6.224530218,5.14,True,0.84375,0.0,155.25,
lt_gallowstemplar_n_a8,lt_gallowstemplar_n,8,0,3.712123708,2.16,True,1.0,1.0,128.375,
lt_gallowstemplar_n_a8,lt_gallowstemplar_n,8,1,3.544767381,2.26,True,1.0,1.0,128.375,
lt_gallowstemplar_n_a8,lt_gallowstemplar_n,8,2,3.574568694,2.24,True,1.0,1.0,128.375,
lt_gallowstemplar_n_a16,lt_gallowstemplar_n,16,0,6.608583125,2.42,True,1.0,1.0,103.0625,
lt_gallowstemplar_n_a16,lt_gallowstemplar_n,16,1,6.811286901,2.35,True,1.0,1.0,103.0625,
lt_gallowstemplar_n_a16,lt_gallowstemplar_n,16,2,6.681538401,2.39,True,1.0,1.0,103.0625,
lt_gallowstemplar_n_a32,lt_gallowstemplar_n,32,0,10.91092114,2.93,True,1.0,1.0,110.34375,
lt_gallowstemplar_n_a32,lt_gallowstemplar_n,32,1,10.587717004,3.02,True,1.0,1.0,110.34375,
lt_gallowstemplar_n_a32,lt_gallowstemplar_n,32,2,10.910470811,2.93,True,1.0,1.0,110.34375,
maze-128-128-1_a8,maze-128-128-1,8,0,3.380859862,2.37,True,0.25,0.0,222.875,
maze-128-128-1_a8,maze-128-128-1,8,1,3.382185409,2.37,True,0.25,0.0,222.875,
maze-128-128-1_a8,maze-128-128-1,8,2,3.205534288,2.5,True,0.25,0.0,222.875,
maze-128-128-1_a16,maze-128-128-1,16,0,5.729353968,2.79,True,0.25,0.0,235.125,
maze-128-128-1_a16,maze-128-128-1,16,1,5.422961816,2.95,True,0.25,0.0,235.125,
maze-128-128-1_a16,maze-128-128-1,16,2,5.547531719,2.88,True,0.25,0.0,235.125,
maze-128-128-1_a32,maze-128-128-1,32,0,8.443630192,3.79,True,0.28125,0.0,224.46875,
maze-128-128-1_a32,maze-128-128-1,32,1,8.700384909,3.68,True,0.28125,0.0,224.46875,
maze-128-128-1_a32,maze-128-128-1,32,2,8.793065193,3.64,True,0.28125,0.0,224.46875,
maze-128-128-10_a8,maze-128-128-10,8,0,2.412346365,3.32,True,0.625,0.0,185.0,
maze-128-128-10_a8,maze-128-128-10,8,1,2.354671269,3.4,True,0.625,0.0,185.0,
maze-128-128-10_a8,maze-128-128-10,8,2,2.50865984,3.19,True,0.625,0.0,185.0,
maze-128-128-10_a16,maze-128-128-10,16,0,4.255498532,3.76,True,0.6875,0.0,179.3125,
maze-128-128-10_a16,maze-128-128-10,16,1,3.909436673,4.09,True,0.6875,0.0,179.3125,
maze-128-128-10_a16,maze-128-128-10,16,2,4.340155594,3.69,True,0.6875,0.0,179.3125,
maze-128-128-10_a32,maze-128-128-10,32,0,7.351961546,4.35,True,0.625,0.0,183.625,
maze-128-128-10_a32,maze-128-128-10,32,1,7.440325747,4.3,True,0.625,0.0,183.625,
maze-128-128-10_a32,maze-128-128-10,32,2,7.437093297,4.3,True,0.625,0.0,183.625,
maze-128-128-2_a8,maze-128-128-2,8,0,2.295004163,3.49,True,0.125,0.0,226.625,
maze-128-128-2_a8,maze-128-128-2,8,1,2.52687646,3.17,True,0.125,0.0,226.625,
maze-128-128-2_a8,maze-128-128-2,8,2,2.172713742,3.68,True,0.125,0.0,226.625,
