label,mean_throughput,std_throughput,success_rate,mean_ISR,mean_CSR,mean_ep_length
maze-128-128-2_a16,0.320175,0.01174,1.0,0.1875,0.0,219.0625
maze-32-32-2_a16,1.223744,0.011077,1.0,1.0,1.0,43.708333
maze-32-32-4_a8,0.787035,0.000489,1.0,1.0,1.0,40.5
maze-128-128-2_a32,0.284063,0.199234,1.0,0.09375,0.0,237.59375
maze-32-32-4_a16,0.023725,0.004883,1.0,1.0,1.0,51.0625
maze-32-32-2_a32,0.026708,0.001995,1.0,1.0,1.0,58.84375
maze-32-32-4_a32,33.689332,22.144252,1.0,1.0,1.0,53.0625
orz900d_a8,0.044685,0.001756,1.0,0.25,0.0,216.875
orz900d_a16,0.088393,0.001541,1.0,0.125,0.0,236.4375
orz900d_a32,0.158467,0.000989,1.0,0.15625,0.0,232.375
ost003d_a8,1.966925,0.033751,1.0,0.875,0.0,107.625
ost003d_a16,3.619862,0.110511,1.0,0.875,0.0,126.5
ost003d_a32,5.689616,0.166588,1.0,0.75,0.0,148.75
random-32-32-10_a8,23.119717,2.257094,1.0,1.0,1.0,27.125
random-32-32-10_a16,41.440268,6.902565,1.0,1.0,1.0,26.1875
random-32-32-10_a32,90.888626,8.642237,1.0,1.0,1.0,24.96875
random-32-32-20_a8,37.26887,3.343067,1.0,1.0,1.0,22.875
random-32-32-20_a16,47.11419,8.892852,1.0,1.0,1.0,23.4375
random-32-32-20_a32,92.036014,7.327012,1.0,1.0,1.0,21.8125
random-64-64-10_a8,11.962171,0.852859,1.0,1.0,1.0,44.875
random-64-64-10_a16,25.75288,1.007539,1.0,1.0,1.0,42.25
random-64-64-10_a32,39.840337,1.012638,1.0,1.0,1.0,38.625
random-64-64-20_a8,11.269109,0.571545,1.0,1.0,1.0,46.0
random-64-64-20_a16,21.768076,2.097798,1.0,1.0,1.0,46.4375
random-64-64-20_a32,37.286155,3.499082,1.0,1.0,1.0,42.90625
room-32-32-4_a8,31.412082,5.338859,1.0,1.0,1.0,33.375
room-32-32-4_a16,48.122405,1.440042,1.0,1.0,1.0,32.9375
room-32-32-4_a32,88.390952,6.267644,1.0,1.0,1.0,28.96875
room-64-64-16_a8,12.359144,1.289395,1.0,1.0,1.0,50.375
room-64-64-16_a16,22.687567,1.918853,1.0,1.0,1.0,45.625
room-64-64-16_a32,25.571144,1.178795,1.0,1.0,1.0,70.875
room-64-64-8_a8,14.883784,1.400997,1.0,1.0,1.0,53.5
room-64-64-8_a16,23.066623,0.633728,1.0,1.0,1.0,49.1875
room-64-64-8_a32,36.083356,2.111848,1.0,1.0,1.0,56.5
w_woundedcoast_a8,0.290767,0.00119,1.0,0.125,0.0,241.0
w_woundedcoast_a16,0.511149,0.0012,1.0,0.1875,0.0,234.6875
w_woundedcoast_a32,0.827481,0.012599,1.0,0.1875,0.0,235.21875
warehouse-10-20-10-2-1_a8,5.546826,0.412764,1.0,1.0,1.0,62.5
warehouse-10-20-10-2-1_a16,11.47498,0.746927,1.0,1.0,1.0,70.625
warehouse-10-20-10-2-1_a32,20.509554,1.053871,1.0,1.0,1.0,79.03125
warehouse-10-20-10-2-2_a8,4.005925,0.244968,1.0,1.0,1.0,94.625
warehouse-10-20-10-2-2_a16,7.435737,0.344779,1.0,1.0,1.0,106.625
warehouse-10-20-10-2-2_a32,12.056403,0.520424,1.0,1.0,1.0,110.1875
warehouse-20-40-10-2-1_a8,1.067185,0.020889,1.0,0.75,0.0,200.5
warehouse-20-40-10-2-1_a16,2.017061,0.031312,1.0,0.6875,0.0,183.6875
warehouse-20-40-10-2-1_a32,3.725233,0.041654,1.0,0.75,0.0,164.375
warehouse-20-40-10-2-2_a8,0.440321,0.001635,1.0,0.75,0.0,153.125
warehouse-20-40-10-2-2_a16,0.858148,0.029162,1.0,0.875,0.0,132.125
warehouse-20-40-10-2-2_a32,1.651015,0.020225,1.0,0.8125,0.0,136.90625
